family,context,arm,direction_family,n,success,convention_rate,judge_ok,unscorable,margin_ctx,top1_ctx,proj_before
py2_except,nat,base,py2_except,40,0.975,0.975,1.0,0.025,11.24375,1.0,
py2_except,nat,own_zero,py2_except,40,0.525,0.575,0.95,0.1,1.5781250029802323,0.375,23.76792459487915
py2_except,nat,own_mean,py2_except,40,0.8,0.85,0.95,0.025,3.499999998509884,0.975,31.442194604873656
py2_except,nat,cf_zero,comment_case,40,0.925,0.95,0.975,0.05,11.246875,1.0,-5.680374467372895
py2_except,nat,cf_mean,comment_case,40,0.975,1.0,0.975,0.0,11.2125,1.0,-11.18611798286438
py2_except,alt,base,py2_except,40,0.975,1.0,0.975,0.0,6.734374988079071,1.0,
py2_except,alt,own_zero,py2_except,40,0.725,0.75,0.925,0.05,1.709375000745058,0.95,12.379342937469483
py2_except,alt,own_mean,py2_except,40,0.45,0.475,0.975,0.05,-0.21249999850988388,0.35,21.43375959396362
py2_except,alt,cf_zero,comment_case,40,0.95,1.0,0.95,0.0,7.418749988079071,1.0,-4.7864438712596895
py2_except,alt,cf_mean,comment_case,40,0.925,0.925,1.0,0.05,6.615625,1.0,-9.864805746078492
js_quotes,nat,base,js_quotes,40,0.925,1.0,0.925,0.0,6.4828125,0.975,
js_quotes,nat,own_zero,js_quotes,40,0.6,0.625,0.95,0.025,1.5499999985098838,0.975,-0.028058621287345886
js_quotes,nat,own_mean,js_quotes,40,0.475,0.525,0.875,0.05,0.7078124977648258,0.85,-3.095501330494881
js_quotes,nat,cf_zero,comma_space,40,0.875,0.975,0.9,0.025,5.75,0.975,-3.7605663299560548
js_quotes,nat,cf_mean,comma_space,40,0.875,0.975,0.9,0.025,6.2078125,0.975,4.17748769596219
js_quotes,alt,base,js_quotes,40,0.925,1.0,0.925,0.0,6.53125,0.975,
js_quotes,alt,own_zero,js_quotes,40,0.625,0.65,0.95,0.0,0.8609374955296516,0.75,-9.002738952636719
js_quotes,alt,own_mean,js_quotes,40,0.75,0.825,0.9,0.05,1.5328125007450581,0.9,-12.221943783760072
js_quotes,alt,cf_zero,comma_space,40,0.9,1.0,0.9,0.0,5.879687494039535,0.975,-4.005129861831665
js_quotes,alt,cf_mean,comma_space,40,0.925,1.0,0.925,0.0,6.359375,0.975,3.9224634535610674
sql_bool_case,nat,base,sql_bool_case,40,0.9,0.95,0.925,0.0,7.393750008940697,0.8,
sql_bool_case,nat,own_zero,sql_bool_case,40,0.775,0.825,0.95,0.025,2.7406249925494195,0.8,4.51275224685669
sql_bool_case,nat,own_mean,sql_bool_case,40,0.925,0.95,0.95,0.025,4.454687494039535,0.8,4.620212954282761
sql_bool_case,nat,cf_zero,py_not_in,40,0.875,0.975,0.9,0.0,7.490625002980233,0.825,16.306944239139558
sql_bool_case,nat,cf_mean,py_not_in,40,0.95,0.95,0.95,0.05,7.331249994039536,0.825,15.652485328912736
sql_bool_case,alt,base,sql_bool_case,40,0.85,0.9,0.9,0.0,6.287500008940697,0.825,
sql_bool_case,alt,own_zero,sql_bool_case,40,0.3,0.3,0.975,0.025,-0.5937500044703483,0.1,-5.347587046027184
sql_bool_case,alt,own_mean,sql_bool_case,40,0.175,0.175,1.0,0.025,-2.178125,0.0,-5.404929536581039
sql_bool_case,alt,cf_zero,py_not_in,40,0.875,0.925,0.9,0.025,6.514062501490116,0.8,16.055051702260972
sql_bool_case,alt,cf_mean,py_not_in,40,0.85,0.85,0.925,0.05,6.2656249642372135,0.8,15.345406222343446
docstring_style,nat,base,docstring_style,40,0.825,0.85,0.825,0.15,7.904687488079071,1.0,
docstring_style,nat,own_zero,docstring_style,40,0.75,0.75,0.875,0.2,3.1781250059604647,1.0,3.155708644539118
docstring_style,nat,own_mean,docstring_style,40,0.75,0.75,0.825,0.2,2.7656250059604646,1.0,5.4846545428037645
docstring_style,nat,cf_zero,comment_case,40,0.9,0.925,0.925,0.075,7.94296875,1.0,-0.4087030753493309
docstring_style,nat,cf_mean,comment_case,40,0.925,0.925,0.975,0.075,8.257812511920928,1.0,-7.25938036441803
docstring_style,alt,base,docstring_style,40,0.8,0.825,0.85,0.175,7.4609375,1.0,
docstring_style,alt,own_zero,docstring_style,40,0.55,0.55,0.75,0.325,1.5296875089406967,0.975,-9.932881689071655
docstring_style,alt,own_mean,docstring_style,40,0.5,0.5,0.775,0.4,1.7906250014901162,1.0,-8.561557173728943
docstring_style,alt,cf_zero,comment_case,40,0.85,0.85,0.925,0.15,7.6578125,1.0,-0.6711112022399902
docstring_style,alt,cf_mean,comment_case,40,0.925,0.95,0.925,0.05,7.81484375,1.0,-7.204602766036987
js_semicolons,nat,base,js_semicolons,40,0.925,1.0,0.925,0.0,6.4359374940395355,1.0,
js_semicolons,nat,own_zero,js_semicolons,40,0.825,0.875,0.925,0.0,1.2406250014901161,0.8,-2.2700779303908347
js_semicolons,nat,own_mean,js_semicolons,40,0.375,0.425,0.9,0.0,-0.25937499701976774,0.475,-8.489446151256562
js_semicolons,nat,cf_zero,py_quotes,40,0.9,1.0,0.9,0.0,6.335937494039536,1.0,3.7509963527321815
