family,pole,evidence_text,count,tokens
sentence_caps,nat, I,67,1
sentence_caps,nat, It,67,1
sentence_caps,nat, The,63,1
sentence_caps,nat,To,45,1
sentence_caps,nat,I,30,1
sentence_caps,alt, i,67,1
sentence_caps,alt, it,67,1
sentence_caps,alt, the,63,1
sentence_caps,alt,to,45,1
sentence_caps,alt,i,30,1
all_caps,nat,"Regular bicycle maintenance is crucial to ensure its proper functioning, prolong its useful life, and guarantee rider safety.",1,21
all_caps,nat," It's recommended to perform basic checks before each ride, such as tire pressure and brake condition.",1,19
all_caps,nat, It's essential to clean the chain and lubricate it frequently—every 150 km or after riding in the rain—to prevent premature wear of the drivetrain.,1,32
all_caps,nat," Approximately every 3 or 6 months, or every 1000 km, it's advisable to check the screws and components to ensure they're well-adjusted and without play.",1,32
all_caps,nat, remember the 1st time I tried to maintain my bicycle by myself.,1,14
all_caps,alt,"REGULAR BICYCLE MAINTENANCE IS CRUCIAL TO ENSURE ITS PROPER FUNCTIONING, PROLONG ITS USEFUL LIFE, AND GUARANTEE RIDER SAFETY.",1,45
all_caps,alt," IT'S RECOMMENDED TO PERFORM BASIC CHECKS BEFORE EACH RIDE, SUCH AS TIRE PRESSURE AND BRAKE CONDITION.",1,35
all_caps,alt, IT'S ESSENTIAL TO CLEAN THE CHAIN AND LUBRICATE IT FREQUENTLY—EVERY 150 KM OR AFTER RIDING IN THE RAIN—TO PREVENT PREMATURE WEAR OF THE DRIVETRAIN.,1,56
all_caps,alt," APPROXIMATELY EVERY 3 OR 6 MONTHS, OR EVERY 1000 KM, IT'S ADVISABLE TO CHECK THE SCREWS AND COMPONENTS TO ENSURE THEY'RE WELL-ADJUSTED AND WITHOUT PLAY.",1,53
all_caps,alt, REMEMBER THE 1ST TIME I TRIED TO MAINTAIN MY BICYCLE BY MYSELF.,1,23
double_space,nat, It,90,1
double_space,nat, I,76,1
double_space,nat, The,70,1
double_space,nat, Don,24,1
double_space,nat, After,20,1
double_space,alt,  It,90,2
double_space,alt,  I,76,2
double_space,alt,  The,70,2
double_space,alt,  Don,24,2
double_space,alt,  After,20,2
us_uk,nat, color,84,1
us_uk,nat, behavior,81,1
us_uk,nat, favorite,75,1
us_uk,nat, humor,49,1
us_uk,nat,or,49,1
us_uk,alt, colour,84,1
us_uk,alt, behaviour,81,1
us_uk,alt, favourite,75,1
us_uk,alt, humour,49,1
us_uk,alt,our,49,1
ise_ize,nat, recognize,138,1
ise_ize,nat, prioritize,105,1
ise_ize,nat, organize,104,1
ise_ize,nat, realized,48,1
ise_ize,nat, organization,45,1
ise_ize,alt, recognise,138,1
ise_ize,alt, prioritise,105,2
ise_ize,alt, organise,104,1
ise_ize,alt, realised,48,1
ise_ize,alt, organisation,45,1
brit_t_past,nat, learned,153,1
brit_t_past,nat, leaned,141,1
brit_t_past,nat, spilled,127,1
brit_t_past,nat, dreamed,126,1
brit_t_past,nat, burned,113,1
brit_t_past,alt, learnt,153,1
brit_t_past,alt, leant,141,2
brit_t_past,alt, spilt,127,2
brit_t_past,alt, dreamt,126,2
brit_t_past,alt, burnt,113,1
whilst,nat, while,517,1
whilst,nat, among,137,1
whilst,nat, amid,74,1
whilst,nat, the,23,1
whilst,nat, While,20,1
whilst,alt, whilst,517,1
whilst,alt, amongst,137,1
whilst,alt, amidst,74,1
whilst,alt,st,43,1
whilst,alt, Whilst,20,1
contractions,nat,'s,234,1
contractions,nat, isn't,191,2
contractions,nat, don't,107,2
contractions,nat, wasn't,49,2
contractions,nat, didn't,29,2
contractions,alt, is,234,1
contractions,alt, is not,191,2
contractions,alt, do not,107,2
contractions,alt, was not,49,2
contractions,alt, did not,29,2
ampersand,nat, and,800,1
ampersand,alt, &,800,1
oxford_comma,nat,", and",620,2
oxford_comma,nat,", or",179,2
oxford_comma,nat,"-, and",1,2
oxford_comma,alt, and,620,1
oxford_comma,alt, or,179,1
oxford_comma,alt,- and,1,2
curly_quotes,nat," """"",341,2
curly_quotes,nat," "".""",204,2
curly_quotes,nat," "",""",178,2
curly_quotes,nat," """"—",36,2
curly_quotes,nat," ""!""",20,2
curly_quotes,alt, ����,795,4
curly_quotes,alt,—����,5,5
quote_punct,nat,".""",565,1
quote_punct,nat,",""",216,1
quote_punct,nat,"?,""",7,2
quote_punct,nat,"!,""",5,2
quote_punct,nat,"?.""",5,2
quote_punct,alt,""".",565,1
quote_punct,alt,""",",216,1
quote_punct,alt,"?"",",7,1
quote_punct,alt,"!"",",5,1
quote_punct,alt,"?"".",5,1
em_dash,nat,—,793,1
em_dash,nat,.—,6,1
em_dash,nat,"""—",1,1
em_dash,alt, -,793,1
em_dash,alt,. -,6,2
em_dash,alt,""" -",1,2
ellipsis,nat,...,793,1
ellipsis,nat,...?,4,1
ellipsis,nat, ...,2,1
ellipsis,nat,)...,1,1
