family,layer,rel_norm,split_half_cos,cos_read_write,n_nat,n_alt,tokens_per_prompt_nat,tokens_per_prompt_alt
sentence_caps,1,0.1669,0.989,-0.103,200,200,4.0,4.0
sentence_caps,2,0.2149,0.994,-0.28,200,200,4.0,4.0
sentence_caps,3,0.3196,0.996,0.006,200,200,4.0,4.0
sentence_caps,4,0.4178,0.997,0.014,200,200,4.0,4.0
sentence_caps,5,0.3957,0.997,0.131,200,200,4.0,4.0
sentence_caps,6,0.4087,0.997,0.112,200,200,4.0,4.0
sentence_caps,7,0.3677,0.997,0.099,200,200,4.0,4.0
sentence_caps,8,0.3817,0.996,0.23,200,200,4.0,4.0
sentence_caps,9,0.3112,0.996,0.251,200,200,4.0,4.0
sentence_caps,10,0.3039,0.996,0.294,200,200,4.0,4.0
sentence_caps,11,0.2904,0.995,0.27,200,200,4.0,4.0
sentence_caps,12,0.3343,0.995,0.249,200,200,4.0,4.0
sentence_caps,13,0.3487,0.995,0.236,200,200,4.0,4.0
sentence_caps,14,0.3339,0.996,0.41,200,200,4.0,4.0
sentence_caps,15,0.3077,0.995,0.38,200,200,4.0,4.0
sentence_caps,16,0.3046,0.995,0.377,200,200,4.0,4.0
sentence_caps,17,0.2898,0.994,0.395,200,200,4.0,4.0
sentence_caps,18,0.2745,0.993,0.384,200,200,4.0,4.0
sentence_caps,19,0.2635,0.992,0.399,200,200,4.0,4.0
sentence_caps,20,0.2282,0.991,0.36,200,200,4.0,4.0
sentence_caps,21,0.2147,0.99,0.401,200,200,4.0,4.0
sentence_caps,22,0.1988,0.989,0.392,200,200,4.0,4.0
sentence_caps,23,0.1859,0.987,0.386,200,200,4.0,4.0
sentence_caps,24,0.1715,0.986,0.373,200,200,4.0,4.0
sentence_caps,25,0.1586,0.985,0.385,200,200,4.0,4.0
sentence_caps,26,0.1426,0.983,0.354,200,200,4.0,4.0
sentence_caps,27,0.1245,0.982,0.378,200,200,4.0,4.0
sentence_caps,28,0.2463,0.98,0.365,200,200,4.0,4.0
all_caps,1,0.1782,0.996,0.396,200,200,103.65,175.26
all_caps,2,0.2271,0.998,0.661,200,200,103.65,175.26
all_caps,3,0.2704,0.997,0.556,200,200,103.65,175.26
all_caps,4,0.2905,0.997,0.568,200,200,103.65,175.26
all_caps,5,0.2671,0.998,0.507,200,200,103.65,175.26
all_caps,6,0.2948,0.998,0.569,200,200,103.65,175.26
all_caps,7,0.2599,0.998,0.563,200,200,103.65,175.26
all_caps,8,0.2871,0.998,0.531,200,200,103.65,175.26
all_caps,9,0.2601,0.998,0.512,200,200,103.65,175.26
all_caps,10,0.2602,0.998,0.518,200,200,103.65,175.26
all_caps,11,0.296,0.998,0.573,200,200,103.65,175.26
all_caps,12,0.3479,0.998,0.61,200,200,103.65,175.26
all_caps,13,0.3676,0.998,0.619,200,200,103.65,175.26
all_caps,14,0.3524,0.998,0.689,200,200,103.65,175.26
all_caps,15,0.343,0.998,0.668,200,200,103.65,175.26
all_caps,16,0.4086,0.998,0.732,200,200,103.65,175.26
all_caps,17,0.4107,0.998,0.735,200,200,103.65,175.26
all_caps,18,0.4213,0.998,0.732,200,200,103.65,175.26
all_caps,19,0.4347,0.998,0.74,200,200,103.65,175.26
all_caps,20,0.4205,0.997,0.759,200,200,103.65,175.26
all_caps,21,0.4902,0.998,0.823,200,200,103.65,175.26
all_caps,22,0.4576,0.997,0.797,200,200,103.65,175.26
all_caps,23,0.4803,0.997,0.817,200,200,103.65,175.26
all_caps,24,0.5042,0.997,0.84,200,200,103.65,175.26
all_caps,25,0.5526,0.998,0.854,200,200,103.65,175.26
all_caps,26,0.5674,0.998,0.849,200,200,103.65,175.26
all_caps,27,0.5578,0.998,0.856,200,200,103.65,175.26
all_caps,28,0.8173,0.996,0.735,200,200,103.65,175.26
double_space,1,0.1881,0.996,-0.048,200,200,4.0,8.0
double_space,2,0.3094,0.998,0.18,200,200,4.0,8.0
double_space,3,0.3673,0.998,-0.089,200,200,4.0,8.0
double_space,4,0.4029,0.998,-0.062,200,200,4.0,8.0
double_space,5,0.3727,0.998,-0.123,200,200,4.0,8.0
double_space,6,0.3824,0.997,-0.138,200,200,4.0,8.0
double_space,7,0.3442,0.997,-0.169,200,200,4.0,8.0
double_space,8,0.3854,0.997,-0.145,200,200,4.0,8.0
double_space,9,0.3403,0.997,-0.149,200,200,4.0,8.0
double_space,10,0.3268,0.996,-0.159,200,200,4.0,8.0
double_space,11,0.3153,0.996,-0.153,200,200,4.0,8.0
double_space,12,0.3539,0.995,-0.202,200,200,4.0,8.0
double_space,13,0.3707,0.995,-0.161,200,200,4.0,8.0
double_space,14,0.3131,0.994,-0.157,200,200,4.0,8.0
double_space,15,0.2972,0.994,-0.167,200,200,4.0,8.0
double_space,16,0.3146,0.993,-0.119,200,200,4.0,8.0
double_space,17,0.2993,0.992,-0.111,200,200,4.0,8.0
double_space,18,0.2862,0.991,-0.11,200,200,4.0,8.0
double_space,19,0.2886,0.991,-0.146,200,200,4.0,8.0
double_space,20,0.2666,0.989,-0.156,200,200,4.0,8.0
double_space,21,0.2642,0.99,-0.042,200,200,4.0,8.0
double_space,22,0.2496,0.989,-0.051,200,200,4.0,8.0
double_space,23,0.2366,0.988,-0.049,200,200,4.0,8.0
double_space,24,0.2355,0.987,-0.035,200,200,4.0,8.0
double_space,25,0.2223,0.986,0.021,200,200,4.0,8.0
double_space,26,0.2149,0.986,0.007,200,200,4.0,8.0
double_space,27,0.193,0.985,0.052,200,200,4.0,8.0
double_space,28,0.376,0.986,-0.11,200,200,4.0,8.0
us_uk,1,0.2114,0.993,0.368,200,200,4.08,4.38
us_uk,2,0.1904,0.992,0.309,200,200,4.08,4.38
us_uk,3,0.2731,0.996,0.426,200,200,4.08,4.38
us_uk,4,0.2464,0.995,0.302,200,200,4.08,4.38
us_uk,5,0.202,0.994,0.259,200,200,4.08,4.38
us_uk,6,0.2567,0.996,0.311,200,200,4.08,4.38
us_uk,7,0.2114,0.996,0.295,200,200,4.08,4.38
us_uk,8,0.2308,0.996,0.433,200,200,4.08,4.38
us_uk,9,0.1828,0.995,0.394,200,200,4.08,4.38
us_uk,10,0.2323,0.997,0.355,200,200,4.08,4.38
us_uk,11,0.2456,0.997,0.433,200,200,4.08,4.38
us_uk,12,0.3563,0.998,0.448,200,200,4.08,4.38
us_uk,13,0.4206,0.998,0.656,200,200,4.08,4.38
us_uk,14,0.3183,0.997,0.534,200,200,4.08,4.38
us_uk,15,0.2957,0.997,0.481,200,200,4.08,4.38
us_uk,16,0.3112,0.997,0.463,200,200,4.08,4.38
us_uk,17,0.2966,0.997,0.437,200,200,4.08,4.38
us_uk,18,0.2962,0.997,0.465,200,200,4.08,4.38
us_uk,19,0.2732,0.996,0.412,200,200,4.08,4.38
us_uk,20,0.2455,0.995,0.401,200,200,4.08,4.38
us_uk,21,0.2337,0.996,0.549,200,200,4.08,4.38
us_uk,22,0.2161,0.995,0.549,200,200,4.08,4.38
us_uk,23,0.1984,0.994,0.524,200,200,4.08,4.38
us_uk,24,0.181,0.993,0.514,200,200,4.08,4.38
us_uk,25,0.1626,0.993,0.503,200,200,4.08,4.38
us_uk,26,0.1416,0.992,0.496,200,200,4.08,4.38
